pmid,abstract,score,mod_score,types
30415948,"DNA methylation and H3K9me are hallmarks of heterochromatin in plants and mammals, and are successfully maintained across generations. The biochemical and structural basis for this maintenance is poorly understood. The maintenance DNA methyltransferase from Zea mays, ZMET2, recognizes dimethylation of H3K9 via a chromodomain (CD) and a bromo adjacent homology (BAH) domain, which flank the catalytic domain. Here, we show that dinucleosomes are the preferred ZMET2 substrate, with DNA methylation preferentially targeted to linker DNA. Electron microscopy shows one ZMET2 molecule bridging two nucleosomes within a dinucleosome. We find that the CD stabilizes binding, whereas the BAH domain enables allosteric activation by the H3K9me mark. ZMET2 further couples recognition of H3K9me to an increase in the specificity for hemimethylated versus unmethylated DNA. We propose a model in which synergistic coupling between recognition of nucleosome spacing, H3K9 methylation, and DNA modification allows ZMET2 to maintain DNA methylation in heterochromatin with high fidelity.",0,0.0,{}
30449724,"Efforts to battle antimicrobial resistance (AMR) are generally focused on developing novel antibiotics. However, history shows that resistance arises regardless of the nature or potency of new drugs. Here, we propose and provide evidence for an alternate strategy to resolve this problem: inhibiting evolution. We determined that the DNA translocase Mfd is an ""evolvability factor"" that promotes mutagenesis and is required for rapid resistance development to all antibiotics tested across highly divergent bacterial species. Importantly, hypermutator alleles that accelerate AMR development did not arise without Mfd, at least during evolution of trimethoprim resistance. We also show that Mfd's role in AMR development depends on its interactions with the RNA polymerase subunit RpoB and the nucleotide excision repair protein UvrA. Our findings suggest that AMR development can be inhibited through inactivation of evolvability factors (potentially with ""anti-evolution"" drugs)-in particular, Mfd-providing an unexplored route toward battling the AMR crisis.",0,0.0,{}
30449725,"The genome is organized into topologically associated domains (TADs) that enclose smaller subTADs. Here, we identify and characterize an enhancer that is located in the middle of the V gene region of the immunoglobulin kappa light chain (Igκ) locus that becomes active preceding the stage at which this locus undergoes V(D)J recombination. This enhancer is a hub of long-range chromatin interactions connecting subTADs in the V gene region with the recombination center at the J genes. Deletion of this element results in a highly altered long-range chromatin interaction pattern across the locus and, importantly, affects individual V gene utilization locus-wide. These results indicate the existence of an enhancer-dependent framework in the Igκ locus and further suggest that the composition of the diverse antibody repertoire is regulated in a subTAD-specific manner. This enhancer thus plays a structural role in orchestrating the proper folding of the Igκ locus in preparation for V(D)J recombination.",0,0.0,{}
30472187,"The post-translational modification of key residues at the C-terminal domain of RNA polymerase II (RNAP2-CTD) coordinates transcription, splicing, and RNA processing by modulating its capacity to act as a landing platform for a variety of protein complexes. Here, we identify a new modification at the CTD, the deimination of arginine and its conversion to citrulline by peptidyl arginine deiminase 2 (PADI2), an enzyme that has been associated with several diseases, including cancer. We show that, among PADI family members, only PADI2 citrullinates R1810 (Cit1810) at repeat 31 of the CTD. Depletion of PADI2 or loss of R1810 results in accumulation of RNAP2 at transcription start sites, reduced gene expression, and inhibition of cell proliferation. Cit1810 is needed for interaction with the P-TEFb (positive transcription elongation factor b) kinase complex and for its recruitment to chromatin. In this way, CTD-Cit1810 favors RNAP2 pause release and efficient transcription in breast cancer cells.",0,0.0,{}
30472188,"The transcriptional regulators YAP and TAZ play important roles in development, physiology, and tumorigenesis and are negatively controlled by the Hippo pathway. It is yet unknown why the YAP/ TAZ proteins are frequently activated in human malignancies in which the Hippo pathway is still active. Here, by a gain-of-function cancer metastasis screen, we discovered OTUB2 as a cancer stemness and metastasis-promoting factor that deubiquitinates and activates YAP/TAZ. We found OTUB2 to be poly-SUMOylated on lysine 233, and this SUMOylation enables it to bind YAP/TAZ. We also identified a yet-unknown SUMO-interacting motif (SIM) in YAP and TAZ required for their association with SUMOylated OTUB2. Importantly, EGF and oncogenic KRAS induce OTUB2 poly-SUMOylation and thereby activate YAP/TAZ. Our results establish OTUB2 as an essential modulator of YAP/TAZ and also reveal a novel mechanism via which YAP/TAZ activity is induced by oncogenic KRAS.",6,18.0,"{""Sumoylation"": 2, ""Activation"": 4}"
30472189,"Recent studies have indicated that nucleosome turnover is rapid, occurring several times per cell cycle. To access the effect of nucleosome turnover on the epigenetic landscape, we investigated H3K79 methylation, which is produced by a single methyltransferase (Dot1l) with no known demethylase. Using chemical-induced proximity (CIP), we find that the valency of H3K79 methylation (mono-, di-, and tri-) is determined by nucleosome turnover rates. Furthermore, propagation of this mark is predicted by nucleosome turnover simulations over the genome and accounts for the asymmetric distribution of H3K79me toward the transcriptional unit. More broadly, a meta-analysis of other conserved histone modifications demonstrates that nucleosome turnover models predict both valency and chromosomal propagation of methylation marks. Based on data from worms, flies, and mice, we propose that the turnover of modified nucleosomes is a general means of propagation of epigenetic marks and a determinant of methylation valence.",1,1.5,"{""Methylation"": 1}"
30472190,"Transcription initiation requires opening of promoter DNA in the RNA polymerase II (Pol II) pre-initiation complex (PIC), but it remains unclear how this is achieved. Here we report the cryo-electron microscopic (cryo-EM) structure of a yeast PIC that contains underwound, distorted promoter DNA in the closed Pol II cleft. The DNA duplex axis is offset at the upstream edge of the initially melted DNA region (IMR) where DNA opening begins. Unstable IMRs are found in a subset of yeast promoters that we show can still initiate transcription after depletion of the transcription factor (TF) IIH (TFIIH) translocase Ssl2 (XPB in human) from the nucleus in vivo. PIC-induced DNA distortions may thus prime the IMR for melting and may explain how unstable IMRs that are predicted in promoters of Pol I and Pol III can open spontaneously. These results suggest that DNA distortion in the polymerase cleft is a general mechanism that contributes to promoter opening.",1,1.5,"{""Activation"": 1}"
30472191,"Cell dormancy is a widespread mechanism used by bacteria to evade environmental threats, including antibiotics. Here we monitored bacterial antibiotic tolerance and regrowth at the single-cell level and found that each individual survival cell shows different ""dormancy depth,"" which in return regulates the lag time for cell resuscitation after removal of antibiotic. We further established that protein aggresome-a collection of endogenous protein aggregates-is an important indicator of bacterial dormancy depth, whose formation is promoted by decreased cellular ATP level. For cells to leave the dormant state and resuscitate, clearance of protein aggresome and recovery of proteostasis are required. We revealed that the ability to recruit functional DnaK-ClpB machineries, which facilitate protein disaggregation in an ATP-dependent manner, determines the lag time for bacterial regrowth. Better understanding of the key factors regulating bacterial regrowth after surviving antibiotic attack could lead to new therapeutic strategies for combating bacterial antibiotic tolerance.",1,0.0,"{""Inhibition"": 1}"
30472192,"Since its establishment in 2009, single-cell RNA sequencing (RNA-seq) has been a major driver behind progress in biomedical research. In developmental biology and stem cell studies, the ability to profile single cells confers particular benefits. Although most studies still focus on individual tissues or organs, the recent development of ultra-high-throughput single-cell RNA-seq has demonstrated potential power in characterizing more complex systems or even the entire body. However, although multiple ultra-high-throughput single-cell RNA-seq systems have attracted attention, no systematic comparison of these systems has been performed. Here, with the same cell line and bioinformatics pipeline, we developed directly comparable datasets for each of three widely used droplet-based ultra-high-throughput single-cell RNA-seq systems, inDrop, Drop-seq, and 10X Genomics Chromium. Although each system is capable of profiling single-cell transcriptomes, their detailed comparison revealed the distinguishing features and suitable applications for each system.",0,0.0,{}
30503770,"Mutations that lead to splicing defects can have severe consequences on gene function and cause disease. Here, we explore how human genetic variation affects exon recognition by developing a multiplexed functional assay of splicing using Sort-seq (MFASS). We assayed 27,733 variants in the Exome Aggregation Consortium (ExAC) within or adjacent to 2,198 human exons in the MFASS minigene reporter and found that 3.8% (1,050) of variants, most of which are extremely rare, led to large-effect splice-disrupting variants (SDVs). Importantly, we find that 83% of SDVs are located outside of canonical splice sites, are distributed evenly across distinct exonic and intronic regions, and are difficult to predict a priori. Our results indicate extant, rare genetic variants can have large functional effects on splicing at appreciable rates, even outside the context of disease, and MFASS enables their empirical assessment at scale.",0,0.0,{}
30503771,"MicroRNAs (miRNAs) are loaded into the Argonaute subfamily of proteins (AGO) to form an effector complex that silences target genes. Empty but not miRNA-loaded AGO is selectively degraded across species. However, the mechanism and biological significance of selective AGO degradation remain unclear. We discovered a RING-type E3 ubiquitin ligase we named Iruka (Iru), which selectively ubiquitinates the empty form of Drosophila Ago1 to trigger its degradation. Iru preferentially binds empty Ago1 and ubiquitinates Lys514 in the L2 linker, which is predicted to be inaccessible in the miRNA-loaded state. Depletion of Iru results in global impairment of miRNA-mediated silencing of target genes and in the accumulation of aberrant Ago1 that is dysfunctional for canonical protein-protein interactions and miRNA loading. Our findings reveal a sophisticated mechanism for the selective degradation of empty AGO that underlies a quality control process to ensure AGO function.",4,9.0,"{""Complex"": 1, ""Ubiquitination"": 3}"
30503772,"Levels of the ribosome, the conserved molecular machine that mediates translation, are tightly linked to cellular growth rate. In humans, ribosomopathies are diseases associated with cell-type-specific pathologies and reduced ribosomal protein (RP) levels. Because gene expression defects resulting from ribosome deficiency have not yet been experimentally defined, we systematically probed mRNA, translation, and protein signatures that were either unlinked from or linked to cellular growth rate in RP-deficient yeast cells. Ribosome deficiency was associated with altered translation of gene subclasses, and profound general secondary effects of RP loss on the spectrum of cellular mRNAs were seen. Among these effects, growth-defective 60S mutants increased synthesis of proteins involved in proteasome-mediated degradation, whereas 40S mutants accumulated mature 60S subunits and increased translation of ribosome biogenesis genes. These distinct signatures of protein synthesis suggest intriguing and currently mysterious differences in the cellular consequences of deficiency for small and large ribosomal subunits.",1,0.0,"{""Activation"": 1}"
30503773,"Type ΙΙΙ CRISPR-Cas systems provide robust immunity against foreign RNA and DNA by sequence-specific RNase and target RNA-activated sequence-nonspecific DNase and RNase activities. We report on cryo-EM structures of Thermococcus onnurineus CsmcrRNA binary, CsmcrRNA-target RNA and CsmcrRNA-target RNAanti-tag ternary complexes in the 3.1 Å range. The topological features of the crRNA 5'-repeat tag explains the 5'-ruler mechanism for defining target cleavage sites, with accessibility of positions -2 to -5 within the 5'-repeat serving as sensors for avoidance of autoimmunity. The Csm3 thumb elements introduce periodic kinks in the crRNA-target RNA duplex, facilitating cleavage of the target RNA with 6-nt periodicity. Key Glu residues within a Csm1 loop segment of CsmcrRNA adopt a proposed autoinhibitory conformation suggestive of DNase activity regulation. These structural findings, complemented by mutational studies of key intermolecular contacts, provide insights into CsmcrRNA complex assembly, mechanisms underlying RNA targeting and site-specific periodic cleavage, regulation of DNase cleavage activity, and autoimmunity suppression.",0,0.0,{}
30503774,"Adaptive immune systems must accurately distinguish between self and non-self in order to defend against invading pathogens while avoiding autoimmunity. Type III CRISPR-Cas systems employ guide RNA to recognize complementary RNA targets, which triggers the degradation of both the invader's transcripts and their template DNA. These systems can broadly eliminate foreign targets with multiple mutations but circumvent damage to the host genome. To explore the molecular basis for these features, we use single-molecule fluorescence microscopy to study the interaction between a type III-A ribonucleoprotein complex and various RNA substrates. We find that Cas10-the DNase effector of the complex-displays rapid conformational fluctuations on foreign RNA targets, but is locked in a static configuration on self RNA. Target mutations differentially modulate Cas10 dynamics and tune the CRISPR interference activity in vivo. These findings highlight the central role of the internal dynamics of CRISPR-Cas complexes in self versus non-self discrimination and target specificity.",0,0.0,{}
30503775,"In addition to phosphodiester bond formation, RNA polymerase II has an RNA endonuclease activity, stimulated by TFIIS, which rescues complexes that have arrested and backtracked. How TFIIS affects transcription under normal conditions is poorly understood. We identified backtracking sites in human cells using a dominant-negative TFIIS (TFIISDN) that inhibits RNA cleavage and stabilizes backtracked complexes. Backtracking is most frequent within 2 kb of start sites, consistent with slow elongation early in transcription, and in 3' flanking regions where termination is enhanced by TFIISDN, suggesting that backtracked pol II is a favorable substrate for termination. Rescue from backtracking by RNA cleavage also promotes escape from 5' pause sites, prevents premature termination of long transcripts, and enhances activation of stress-inducible genes. TFIISDN slowed elongation rates genome-wide by half, suggesting that rescue of backtracked pol II by TFIIS is a major stimulus of elongation under normal conditions.",1,1.5,"{""Activation"": 1}"
30527540,"In Parkinson's disease (PD), α-synuclein (αS) pathologically impacts the brain, a highly lipid-rich organ. We investigated how alterations in αS or lipid/fatty acid homeostasis affect each other. Lipidomic profiling of human αS-expressing yeast revealed increases in oleic acid (OA, 18:1), diglycerides, and triglycerides. These findings were recapitulated in rodent and human neuronal models of αS dyshomeostasis (overexpression; patient-derived triplication or E46K mutation; E46K mice). Preventing lipid droplet formation or augmenting OA increased αS yeast toxicity; suppressing the OA-generating enzyme stearoyl-CoA-desaturase (SCD) was protective. Genetic or pharmacological SCD inhibition ameliorated toxicity in αS-overexpressing rat neurons. In a C. elegans model, SCD knockout prevented αS-induced dopaminergic degeneration. Conversely, we observed detrimental effects of OA on αS homeostasis: in human neural cells, excess OA caused αS inclusion formation, which was reversed by SCD inhibition. Thus, monounsaturated fatty acid metabolism is pivotal for αS-induced neurotoxicity, and inhibiting SCD represents a novel PD therapeutic approach.",0,0.0,{}
30527661,"In Drosophila, 23-30 nt long PIWI-interacting RNAs (piRNAs) direct the protein Piwi to silence germline transposon transcription. Most germline piRNAs derive from dual-strand piRNA clusters, heterochromatic transposon graveyards that are transcribed from both genomic strands. These piRNA sources are marked by the heterochromatin protein 1 homolog Rhino (Rhi), which facilitates their promoter-independent transcription, suppresses splicing, and inhibits transcriptional termination. Here, we report that the protein Maelstrom (Mael) represses canonical, promoter-dependent transcription in dual-strand clusters, allowing Rhi to initiate piRNA precursor transcription. Mael also represses promoter-dependent transcription at sites outside clusters. At some loci, Mael repression requires the piRNA pathway, while at others, piRNAs play no role. We propose that by repressing canonical transcription of individual transposon mRNAs, Mael helps Rhi drive non-canonical transcription of piRNA precursors without generating mRNAs encoding transposon proteins.",6,9.0,"{""Inhibition"": 2, ""Activation"": 2, ""DecreaseAmount"": 2}"
30527662,"Metazoan chromosomes are sequentially partitioned into topologically associating domains (TADs) and then into smaller sub-domains. One class of sub-domains, insulated neighborhoods, are proposed to spatially sequester and insulate the enclosed genes through self-association and chromatin looping. However, it has not been determined functionally whether promoter-enhancer interactions and gene regulation are broadly restricted to within these loops. Here, we employed published datasets from murine embryonic stem cells (mESCs) to identify insulated neighborhoods that confine promoter-enhancer interactions and demarcate gene regulatory regions. To directly address the functionality of these regions, we depleted estrogen-related receptor β (Esrrb), which binds the Mediator co-activator complex, to impair enhancers of genes within 222 insulated neighborhoods without causing mESC differentiation. Esrrb depletion reduces Mediator binding, promoter-enhancer looping, and expression of both nascent RNA and mRNA within the insulated neighborhoods without significantly affecting the flanking genes. Our data indicate that insulated neighborhoods represent functional regulons in mammalian genomes.",1,1.5,"{""Complex"": 1}"
30527663,"Macroautophagy/autophagy is a key catabolic recycling pathway that requires fine-tuned regulation to prevent pathologies and preserve homeostasis. Here, we report a new post-transcriptional pathway regulating autophagy involving the Pat1-Lsm (Lsm1 to Lsm7) mRNA-binding complex. Under nitrogen-starvation conditions, Pat1-Lsm binds a specific subset of autophagy-related (ATG) transcripts and prevents their 3' to 5' degradation by the exosome complex, leading to ATG mRNA stabilization and accumulation. This process is regulated through Pat1 dephosphorylation, is necessary for the efficient expression of specific Atg proteins, and is required for robust autophagy induction during nitrogen starvation. To the best of our knowledge, this work presents the first example of ATG transcript regulation via 3' binding factors and exosomal degradation.",0,0.0,{}
30527664,"The eukaryotic TORC1 kinase is a homeostatic controller of growth that integrates nutritional cues and mediates signals primarily from the surface of lysosomes or vacuoles. Amino acids activate TORC1 via the Rag GTPases that combine into structurally conserved multi-protein complexes such as the EGO complex (EGOC) in yeast. Here we show that Ego1, which mediates membrane-anchoring of EGOC via lipid modifications that it acquires while traveling through the trans-Golgi network, is separately sorted to vacuoles and perivacuolar endosomes. At both surfaces, it assembles EGOCs, which regulate spatially distinct pools of TORC1 that impinge on functionally divergent effectors: vacuolar TORC1 predominantly targets Sch9 to promote protein synthesis, whereas endosomal TORC1 phosphorylates Atg13 and Vps27 to inhibit macroautophagy and ESCRT-driven microautophagy, respectively. Thus, the coordination of three key regulatory nodes in protein synthesis and degradation critically relies on a division of labor between spatially sequestered populations of TORC1.",5,7.5,"{""Inhibition"": 2, ""Phosphorylation"": 2, ""Activation"": 1}"
30527665,"Aberrant expression of programmed death ligand-1 (PD-L1) in tumor cells promotes cancer progression by suppressing cancer immunity. The retinoblastoma protein RB is a tumor suppressor known to regulate the cell cycle, DNA damage response, and differentiation. Here, we demonstrate that RB interacts with nuclear factor κB (NF-κB) protein p65 and that their interaction is primarily dependent on CDK4/6-mediated serine-249/threonine-252 (S249/T252) phosphorylation of RB. RNA-seq analysis shows a subset of NF-κB pathway genes including PD-L1 are selectively upregulated by RB knockdown or CDK4/6 inhibitor. S249/T252-phosphorylated RB inversely correlates with PD-L1 expression in patient samples. Expression of a RB-derived S249/T252 phosphorylation-mimetic peptide suppresses radiotherapy-induced upregulation of PD-L1 and augments therapeutic efficacy of radiation in vivo. Our findings reveal a previously unrecognized tumor suppressor function of hyperphosphorylated RB in suppressing NF-κB activity and PD-L1 expression and suggest that the RB-NF-κB axis can be exploited to overcome cancer immune evasion triggered by conventional or targeted therapies.",6,15.0,"{""Inhibition"": 2, ""Phosphorylation"": 1, ""Activation"": 2, ""DecreaseAmount"": 1}"
